ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
24869,JC547237,12/15/2019 05:02:00 AM,023XX S ROCKWELL ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1034,010,12,30,01A,1159405,1888215,2019,08/31/2022 04:51:30 PM,41.848982621,-87.690456809,"(41.848982621, -87.690456809)"
24297,JB516364,11/15/2018 01:37:00 AM,011XX S KEELER AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1132,011,24,29,01A,1148551,1894943,2018,08/31/2022 04:51:30 PM,41.867661151,-87.730118883,"(41.867661151, -87.730118883)"
25831,JE181828,03/28/2021 12:11:00 AM,007XX E 103RD ST,0110,HOMICIDE,FIRST DEGREE MURDER,GAS STATION,true,false,0512,005,9,50,01A,1182951,1836828,2021,08/31/2022 04:51:30 PM,41.707455731,-87.605637491,"(41.707455731, -87.605637491)"
25476,JD371629,09/18/2020 05:38:00 PM,084XX S ESCANABA AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0423,004,10,46,01A,1196953,1849519,2020,08/31/2022 04:51:30 PM,41.741944792,-87.553942091,"(41.741944792, -87.553942091)"
24183,JB439939,09/17/2018 10:28:00 PM,078XX S LAFLIN ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0612,006,17,71,01A,1167477,1852706,2018,08/31/2022 04:51:30 PM,41.751372197,-87.661849885,"(41.751372197, -87.661849885)"
23607,JA326765,09/29/2017 01:25:00 AM,102XX S STATE ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0511,005,9,49,01A,1178055,1837235,2017,08/31/2022 04:51:30 PM,41.708684732,-87.623554316,"(41.708684732, -87.623554316)"
23935,JB260251,05/12/2018 01:04:00 AM,027XX E 75TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0334,003,7,43,01A,1195735,1856117,2018,08/31/2022 04:51:30 PM,41.760080391,-87.558186925,"(41.760080391, -87.558186925)"
23546,JA409608,08/28/2017 05:00:00 PM,056XX S ARTESIAN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0824,008,16,63,01A,1160994,1867070,2017,08/31/2022 04:51:30 PM,41.790925443,-87.685210383,"(41.790925443, -87.685210383)"
24096,JB372406,07/31/2018 01:10:00 AM,015XX W 79TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,true,false,0612,006,17,71,01A,1167432,1852342,2018,08/31/2022 04:51:30 PM,41.750374294,-87.662025195,"(41.750374294, -87.662025195)"
24427,JC178163,03/08/2019 03:36:00 PM,040XX W CULLOM AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1722,017,39,16,01A,1148819,1928274,2019,08/31/2022 04:51:30 PM,41.959119468,-87.728271764,"(41.959119468, -87.728271764)"
25500,JD272406,09/05/2020 05:17:00 PM,086XX S WOOD ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,true,0614,006,21,71,01A,1165855,1847347,2020,08/31/2022 04:51:30 PM,41.736700905,-87.667945593,"(41.736700905, -87.667945593)"
23665,JA486232,10/26/2017 02:10:00 AM,096XX S EUCLID AVE,0110,HOMICIDE,FIRST DEGREE MURDER,YARD,false,false,0431,004,7,51,01A,1190864,1841455,2017,08/31/2022 04:51:30 PM,41.719965558,-87.576511435,"(41.719965558, -87.576511435)"
24355,JB560410,12/19/2018 09:40:00 PM,066XX S OAKLEY AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0832,008,16,66,01A,1162216,1860573,2018,08/31/2022 04:51:30 PM,41.773071434,-87.680910326,"(41.773071434, -87.680910326)"
25013,JD203044,04/06/2020 09:54:00 AM,021XX S CENTRAL PARK AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1014,010,24,29,01A,1152704,1889384,2020,08/31/2022 04:51:30 PM,41.852325522,-87.715019384,"(41.852325522, -87.715019384)"
25617,JD430446,11/13/2020 04:25:00 PM,059XX S LA SALLE ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0232,002,20,68,01A,1176320,1865562,2020,08/31/2022 04:51:30 PM,41.786456541,-87.629058932,"(41.786456541, -87.629058932)"
24947,JD145361,02/09/2020 05:27:00 AM,072XX S BENNETT AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0324,003,7,43,01A,1189963,1857256,2020,08/31/2022 04:51:30 PM,41.763346678,-87.579304394,"(41.763346678, -87.579304394)"
23685,JA499385,11/05/2017 01:31:00 AM,105XX S GREEN ST,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,2233,022,34,73,01A,1172512,1834995,2017,08/31/2022 04:51:30 PM,41.70266142,-87.643918879,"(41.70266142, -87.643918879)"
23593,JA440584,09/21/2017 12:39:00 PM,058XX W CORTLAND ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,2531,025,29,25,01A,1137017,1911855,2017,08/31/2022 04:51:30 PM,41.914284454,-87.772056629,"(41.914284454, -87.772056629)"
23264,JA243423,04/28/2017 11:22:00 PM,025XX N KOSTNER AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,2524,025,31,20,01A,1146622,1916274,2017,08/31/2022 04:51:30 PM,41.926232713,-87.736656017,"(41.926232713, -87.736656017)"
25198,JD268744,06/19/2020 03:57:00 AM,009XX E 79TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0624,006,8,44,01A,1183684,1852818,2020,08/31/2022 04:51:30 PM,41.751317093,-87.602456059,"(41.751317093, -87.602456059)"
25801,JE163151,03/08/2021 08:28:00 PM,055XX W CHICAGO AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,true,1524,015,37,25,01A,1139149,1904790,2021,08/31/2022 04:51:30 PM,41.894858704,-87.764396029,"(41.894858704, -87.764396029)"
24196,JB449681,09/25/2018 01:48:00 AM,006XX E 76TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0624,006,6,69,01A,1181968,1854765,2018,08/31/2022 04:51:30 PM,41.756699697,-87.608684202,"(41.756699697, -87.608684202)"
25710,JE105104,01/06/2021 03:37:00 PM,017XX N KEDZIE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1421,014,26,23,01A,1154779,1911319,2021,08/31/2022 04:51:30 PM,41.912476113,-87.706815747,"(41.912476113, -87.706815747)"
25027,JD204854,04/08/2020 04:05:00 PM,007XX S KILBOURN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,PORCH,true,false,1131,011,24,26,01A,1146449,1896134,2020,08/31/2022 04:51:30 PM,41.870969673,-87.737805425,"(41.870969673, -87.737805425)"
23712,JA525623,11/26/2017 10:14:00 AM,002XX N LOCKWOOD AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1523,015,28,25,01A,1141002,1901182,2017,08/31/2022 04:51:30 PM,41.884923991,-87.757679269,"(41.884923991, -87.757679269)"
24443,JC195472,03/22/2019 03:20:00 PM,084XX S SANGAMON ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0613,006,21,71,01A,1171449,1848926,2019,08/31/2022 04:51:30 PM,41.740913387,-87.647404863,"(41.740913387, -87.647404863)"
24404,JC147701,02/10/2019 11:58:00 PM,020XX S CANALPORT AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1235,012,11,31,01A,1171665,1890591,2019,08/31/2022 04:51:30 PM,41.85524189,-87.645391738,"(41.85524189, -87.645391738)"
25686,JD469828,12/26/2020 12:01:00 PM,055XX S HALSTED ST,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,true,0711,007,20,68,01A,1171915,1868079,2020,08/31/2022 04:51:30 PM,41.793461345,-87.645135997,"(41.793461345, -87.645135997)"
25088,JD230569,05/12/2020 04:22:00 PM,054XX S KEELER AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0815,008,23,62,01A,1149292,1868179,2020,08/31/2022 04:51:30 PM,41.79420278,-87.728090778,"(41.79420278, -87.728090778)"
25020,JD203958,04/07/2020 02:06:00 PM,078XX S THROOP ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0612,006,17,71,01A,1169243,1852829,2020,08/31/2022 04:51:30 PM,41.751671722,-87.655374797,"(41.751671722, -87.655374797)"
23697,JA512875,11/15/2017 02:44:00 PM,064XX S PAULINA ST,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,0725,007,15,67,01A,1166104,1861987,2017,08/31/2022 04:51:30 PM,41.776869812,-87.666617661,"(41.776869812, -87.666617661)"
23287,JA263441,05/14/2017 05:06:00 PM,073XX S UNION AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0732,007,17,68,01A,1172902,1856257,2017,08/31/2022 04:51:30 PM,41.760998681,-87.641865334,"(41.760998681, -87.641865334)"
23204,JA205299,03/30/2017 02:25:00 PM,051XX W CHICAGO AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,1531,015,37,25,01A,1141722,1904839,2017,08/31/2022 04:51:30 PM,41.894945957,-87.75494476,"(41.894945957, -87.75494476)"
25581,JD415988,10/30/2020 10:09:00 PM,116XX S VINCENNES AVE,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,true,false,2234,022,34,75,01A,1165782,1827728,2020,08/31/2022 04:51:30 PM,41.682864732,-87.668767778,"(41.682864732, -87.668767778)"
25315,JD289973,07/16/2020 08:11:00 PM,040XX S KEDZIE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,true,false,0821,008,14,58,01A,1155679,1877455,2020,08/31/2022 04:51:30 PM,41.819531596,-87.704420779,"(41.819531596, -87.704420779)"
24019,JB142659,02/06/2018 03:51:00 AM,040XX W WILCOX ST,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,false,false,1115,011,28,26,01A,1149448,1899029,2018,08/31/2022 04:51:30 PM,41.878856261,-87.726719805,"(41.878856261, -87.726719805)"
24971,JD165479,02/26/2020 12:51:00 PM,010XX N CENTRAL AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,1511,015,29,25,01A,1138830,1906209,2020,08/31/2022 04:51:30 PM,41.898758412,-87.765533156,"(41.898758412, -87.765533156)"
24854,JC532963,12/03/2019 01:07:00 PM,075XX N PAULINA ST,0110,HOMICIDE,FIRST DEGREE MURDER,CTA SUBWAY STATION,true,false,2422,024,49,1,01A,1163690,1950023,2019,08/31/2022 04:51:30 PM,42.018498254,-87.672983233,"(42.018498254, -87.672983233)"
24260,JB496408,10/30/2018 03:34:00 PM,015XX W 53RD ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0934,009,16,61,01A,1166759,1869577,2018,08/31/2022 04:51:30 PM,41.797683743,-87.663999836,"(41.797683743, -87.663999836)"
25217,JD272033,06/22/2020 05:21:00 AM,038XX W HARRISON ST,0110,HOMICIDE,FIRST DEGREE MURDER,PARKING LOT,true,false,1133,011,24,26,01A,1151141,1897093,2020,08/31/2022 04:51:30 PM,41.873510659,-87.720554136,"(41.873510659, -87.720554136)"
23086,JA117836,01/16/2017 12:11:00 PM,048XX W HUBBARD ST,0110,HOMICIDE,FIRST DEGREE MURDER,PORCH,false,false,1532,015,28,25,01A,1143983,1902570,2017,08/31/2022 04:51:30 PM,41.888677432,-87.746697587,"(41.888677432, -87.746697587)"
24380,HZ106402,08/30/2018 07:33:00 AM,005XX S KOSTNER AVE,0110,HOMICIDE,FIRST DEGREE MURDER,PARKING LOT,false,false,1131,011,28,26,01A,1147140,1897299,2018,08/31/2022 04:51:30 PM,41.874153389,-87.735238688,"(41.874153389, -87.735238688)"
25267,JD286365,07/05/2020 02:42:00 AM,086XX S VINCENNES AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0622,006,21,71,01A,1172882,1847921,2020,08/31/2022 04:51:30 PM,41.738124069,-87.64218405,"(41.738124069, -87.64218405)"
24641,JC346016,07/12/2019 05:55:00 PM,000XX E 87TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,0632,006,9,44,01A,1178402,1847335,2019,08/31/2022 04:51:30 PM,41.736392584,-87.621977949,"(41.736392584, -87.621977949)"
23110,JA123411,01/23/2017 01:30:00 PM,006XX S SACRAMENTO BLVD,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1134,011,28,27,01A,1156465,1897134,2017,08/31/2022 04:51:30 PM,41.873517205,-87.701005851,"(41.873517205, -87.701005851)"
25460,JD365391,09/12/2020 11:18:00 PM,005XX N PINE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1523,015,37,25,01A,1139442,1902935,2020,08/31/2022 04:51:30 PM,41.889763017,-87.763365161,"(41.889763017, -87.763365161)"
